Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version,
"Patient 5 wound swab time 5","wound_swab","ERS1474871","ERR1760118","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin adjacent to wound time 0","diabetic_skin_adj","ERS1474872","ERR1760119","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474873","ERR1760120","amplicon","Illumina MiSeq",4.0,
"Patient 6 wound swab time 0","wound_swab","ERS1474874","ERR1760121","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin adjacent to wound time 1","diabetic_skin_adj","ERS1474875","ERR1760122","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin contralateral foot to wound time 1","diabetic_skin_contra","ERS1474876","ERR1760123","amplicon","Illumina MiSeq",4.0,
"Patient 6 wound debridement time 1","wound_deb","ERS1474877","ERR1760124","amplicon","Illumina MiSeq",4.0,
"Patient 6 wound swab time 1","wound_swab","ERS1474878","ERR1760125","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474879","ERR1760126","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin contralateral foot to wound time 2","diabetic_skin_contra","ERS1474880","ERR1760127","amplicon","Illumina MiSeq",4.0,
"Patient 6 wound debridement time 2","wound_deb","ERS1474881","ERR1760128","amplicon","Illumina MiSeq",4.0,
"Patient 6 wound swab time 2","wound_swab","ERS1474882","ERR1760129","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin adjacent to wound time 3","diabetic_skin_adj","ERS1474883","ERR1760130","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin contralateral foot to wound time 3","diabetic_skin_contra","ERS1474884","ERR1760131","amplicon","Illumina MiSeq",4.0,
"Patient 6 wound swab time 3","wound_swab","ERS1474885","ERR1760132","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin adjacent to wound time 4","diabetic_skin_adj","ERS1474886","ERR1760133","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin contralateral foot to wound time 4","diabetic_skin_contra","ERS1474887","ERR1760134","amplicon","Illumina MiSeq",4.0,
"Patient 6 wound debridement time 4","wound_deb","ERS1474888","ERR1760135","amplicon","Illumina MiSeq",4.0,
"Patient 6 wound swab time 4","wound_swab","ERS1474889","ERR1760136","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin adjacent to wound time 5","diabetic_skin_adj","ERS1474890","ERR1760137","amplicon","Illumina MiSeq",4.0,
"Patient 6 skin contralateral foot to wound time 5","diabetic_skin_contra","ERS1474891","ERR1760138","amplicon","Illumina MiSeq",4.0,
"Blank swab process control sequenced in run 1","Blank_4","ERS1474892","ERR1760140","amplicon","Illumina MiSeq",4.0,
"E. coli positive DNA control sequenced run 1","Positive_4","ERS1474893","ERR1760139","amplicon","Illumina MiSeq",4.0,
"No DNA PCR control sequenced run 1","No_DNA_4","ERS1474894","ERR1760141","amplicon","Illumina MiSeq",4.0,
