Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version
"Non-tumor DNA sample from glabella of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from glabella of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451587,SRR919859,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from glabella of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from glabella of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451587,SRR919909,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451588,SRR919858,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451588,SRR919908,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from back of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from back of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451589,SRR919860,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from back of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from back of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451589,SRR919910,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451590,SRR919861,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451590,SRR919911,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451591,SRR919862,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451591,SRR919912,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from manubrium of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from manubrium of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451592,SRR919863,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from manubrium of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from manubrium of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451592,SRR919913,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from occiput of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from occiput of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451593,SRR919864,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from occiput of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from occiput of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451593,SRR919914,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451594,SRR919865,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451594,SRR919915,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451595,SRR919866,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451595,SRR919916,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451596,SRR919867,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451596,SRR919917,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451597,SRR919868,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451597,SRR919918,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451598,SRR919869,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451598,SRR919919,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451599,SRR919870,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451599,SRR919920,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451600,SRR919871,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451600,SRR919921,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451601,SRR919872,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451601,SRR919922,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451602,SRR919873,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451602,SRR919923,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451603,SRR919874,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from antecubital crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451603,SRR919924,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451604,SRR919875,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451604,SRR919925,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451605,SRR919876,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451605,SRR919926,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451606,SRR919877,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451606,SRR919927,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451607,SRR919879,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451607,SRR919929,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451608,SRR919878,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from inguinal crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451608,SRR919928,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451609,SRR919880,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from nare of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451609,SRR919930,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451610,SRR919881,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451610,SRR919931,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451611,SRR919882,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451611,SRR919932,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451612,SRR919883,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from glabella of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451612,SRR919933,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451613,SRR919884,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from back of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451613,SRR919934,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451614,SRR919885,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451614,SRR919935,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451615,SRR919886,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451615,SRR919936,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451616,SRR919887,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from manubrium of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451616,SRR919937,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451617,SRR919888,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from occiput of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451617,SRR919938,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451618,SRR919889,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451618,SRR919939,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451619,SRR919890,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toeweb of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451619,SRR919940,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451620,SRR919891,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451620,SRR919941,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451621,SRR919892,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from external auditory canal of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451621,SRR919942,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451622,SRR919893,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451622,SRR919943,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451623,SRR919894,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from hypothenar palm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451623,SRR919944,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451624,SRR919895,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451624,SRR919945,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451625,SRR919896,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from toenail of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451625,SRR919946,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451626,SRR919897,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from volar forearm of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451626,SRR919947,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451627,SRR919898,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from plantar heel of a human male participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451627,SRR919948,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451709,SRR920111,amplicon,454 GS FLX Titanium,2
"Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""","Non-tumor DNA sample from retroauricular crease of a human female participant in the dbGaP study Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency""""",SRS451709,SRR920158,amplicon,454 GS FLX Titanium,2
